node	score
TUBA4A	0.00043480844772830605
SUCLA2	0.0004344645939171832
RPL3	0.000432975323679994
CPT1A	0.0004329271026845714
FLNA	0.00043213599449924293
GFM1	0.000430929093866316
CCT3	0.00042962794623903854
CCT2	0.0004295860629272527
PRDX3	0.00042918342780278525
GLS2	0.0004281133127276039
RPS5	0.00042569592234672907
ATP5F1D	0.0004254908111417802
CALR	0.0004233779880187133
METTL3	0.00042264110514625587
RPL8	0.0004220550314954652
MB	0.00042190360093072033
TUBB2A	0.00042047938075073945
YWHAB	0.0004191367720832412
PSMC3	0.0004190955357241087
MIF	0.00041830625773373183
STK11	0.00041718129874804483
AGR2	0.0004162902528703081
SDHC	0.0004143386316327623
P4HA1	0.0004133972253232055
TUBB4B	0.0004126883734144871
PRPS1	0.00041114003382784314
RPS6KB1	0.000410497641042713
PDK3	0.0004103630995243613
CA9	0.0004086451991475705
RPEL1	0.00040707096179466593
B2M	0.0004051869517779196
TOP2B	0.0004048910555786463
HPRT1	0.00040465342901813546
RPS13	0.00040424934467611434
TSFM	0.00040262432644382496
PSMC4	0.00040152212431285674
ECHS1	0.00040025945128253535
TUBA1B	0.00039805094718243963
PRDX4	0.000398035343807556
IDH3G	0.0003978001121938605
RHOA	0.000396736185899832
HAND1	0.00039420656513990387
H2BC21	0.00039345844369233847
TYMS	0.0003930860670356943
SOX2	0.00039288163003922287
SMAD3	0.00039225192829788077
CBS	0.0003915101574868229
PEBP1	0.0003907217171350347
RPL19	0.00038715652203190364
VIM	0.00038515779649747937
VARS1	0.00038478498164622074
TUBB6	0.0003842001218658723
UQCRC2	0.00038280921465748933
SRC	0.00038236204136292494
GLA	0.00038222761810613963
AK4	0.00037743132874083833
SEC61A1	0.00037642802364381715
AHCY	0.0003763060664967695
GPD2	0.00037587312601852465
AK3	0.0003752400059216175
STIP1	0.0003741132004251924
TUBA1C	0.00037394473726255116
MINPP1	0.00037384567647818085
KARS1	0.0003725122612234952
CCK	0.0003720155480617098
PLEC	0.00037146910843507416
BRCC3	0.00037104127781319754
PSMD14	0.0003647141805717577
PSMC6	0.0003642212115002978
RAB1A	0.0003638008217514802
MARS1	0.00035944407274623855
CCT6A	0.00035866587797155785
HSPA9	0.0003579478683296192
MED8	0.00035516798059700077
ME1	0.000354527919607408
FLNB	0.00035196036794468916
SLC25A5	0.00035150366428778025
UBC	0.0003502233540479192
YWHAG	0.00034998676295468456
MRRF	0.000349574176948181
SFN	0.0003472851243561618
TK1	0.0003429116107533514
ADH1A	0.00034249821735473246
PPIB	0.0003412746452292705
MYH9	0.0003410699595993587
MLXIP	0.00033714931899491996
GLUD2	0.00033531025806673043
VASP	0.00033428002485851754
MRTFA	0.0003325277366391813
HNRNPA2B1	0.00033174639475744326
PRDX5	0.00032913284699960174
EPRS1	0.0003286959903750454
PRPS1L1	0.0003270163095314412
ME3	0.0003244514739147032
GUSB	0.0003208912122599895
AGL	0.00032016045929529174
ME2	0.0003193301333144534
STMN1	0.0003160571542514444
CD4	0.0003154080225803093
RPS16	0.0003143682397423965
AMY2B	0.000312322479962621
DPM1	0.0003105447558622661
TBP	0.0003079834930396479
RPL5	0.0003034926951195196
BNIP3	0.00030004259497138627
AR	0.00029962912006669307
HLA-DRB1	0.0002994087943957543
RPS27A	0.0002993655196341
RPL23A	0.00029634908827486095
RPL23	0.00029627868640911837
JUN	0.00029617272366923774
APP	0.0002956034459340935
NDUFS8	0.0002934271590781612
ALDH5A1	0.0002925248146690813
GOT1	0.0002894815411798664
TFRC	0.00028413109107337217
ASS1	0.00028271496092375614
MRPL4	0.0002826128782822093
RPL9	0.00028053943561745786
TLR4	0.0002802825413762037
UBB	0.0002780478693045756
PDHX	0.00027689139017008274
HLA-DRA	0.0002750048645820529
P4HB	0.00027267679860690165
SUMO2	0.0002726317120010202
CMPK1	0.00027137012000129286
NDUFAB1	0.00027023306536235093
