node	score
SUCLG1	0.0005673969451372965
HSPA5	0.0005662160511545563
SHMT1	0.0005658126313597339
RAB1A	0.0005656828159682895
BRCC3	0.0005651298768844359
HSPA4	0.0005649852810906437
METTL3	0.0005632557736962565
EEF2	0.0005631078349069606
GART	0.0005611221020412715
ENO4	0.0005583274317598978
SOD2	0.0005551772039880983
MED8	0.0005549158127556395
HAND1	0.0005492755931398404
ZNF211	0.0005469397706087387
MLXIP	0.0005463453031056373
HSPA8	0.0005460631307915837
TUFM	0.0005436920206108039
ATP5F1B	0.000539215206567354
LDHAL6A	0.0005341854447705788
DLST	0.000533027741858497
GLUL	0.0005325998167429834
PCK2	0.0005322996575892538
LDHAL6B	0.0005322932254983845
GRHPR	0.0005274450168049068
LDHC	0.0005272446932648981
ATP5F1C	0.0005242796519544075
TXN	0.0005206187057847163
RPE	0.0005202186599605626
HSPD1	0.0005166661811030592
RPS3	0.0005163668750077961
PSAT1	0.0005139070104895828
PHGDH	0.0005137683808684124
RPLP0	0.0005127908238532119
HSPE1	0.0005124004246322978
PDHA2	0.0005100413992111156
RPS18	0.0005039341146720084
SDHC	0.0005025117684710172
SOD1	0.0005018707870509162
RPS2	0.0005005656435877848
IDH3A	0.000499580788602232
YWHAZ	0.0004995754569337715
PNMA8B	0.0004986717642026309
FN1	0.0004947895170832239
VCP	0.0004939055994755293
EEF1G	0.0004926374115278605
RPS9	0.0004924626145251214
ACAA2	0.0004924419521060481
RPL4	0.0004923883093759282
RPS20	0.0004916996496236843
SUCLA2	0.0004904986062757889
PRDX1	0.0004904242091405497
PARK7	0.0004903892645397721
EEF1A1	0.0004898721264279299
RPSA	0.0004896008702862169
ECHS1	0.0004891917971011062
RPL8	0.0004876504807276418
PARP6	0.00048702426266831214
TXNRD1	0.0004869431440093997
EFTUD2	0.0004867122457621231
PARP8	0.000486311679970798
MDH1B	0.0004812098695820025
RPL3	0.0004809574954632955
HADHB	0.0004791934099211587
PPA1	0.0004784835685256995
RPL13A	0.00047835977311325146
ATP5F1D	0.00047781088522292107
CD44	0.0004770807091617338
RPL11	0.00047697136572839464
GFM1	0.0004761853848217572
RPS5	0.00047358739929108693
PRDX6	0.0004707056644810194
CBS	0.00047060966079386096
TYMS	0.0004701530114630538
EIF5B	0.00046805360308590485
KARS1	0.0004674123569578739
TCP1	0.00046656198119624545
PRDX3	0.00046638161300309266
GPD2	0.00046579022219471564
VARS1	0.0004653595699658417
RPS13	0.00046520519824427137
MARS1	0.00046516166590455406
HSP90B1	0.0004643114800323815
CCT2	0.0004642944364589448
RHOA	0.0004642793906342689
CSTF3	0.00046385981164613437
GLO1	0.0004635593003122945
IDH3G	0.000462816326236768
SOX2	0.0004624062221643934
UQCRC1	0.0004605753842301248
CCT5	0.0004604367000043117
PRPS1	0.0004601539607297388
POLR2C	0.00045992104713238774
TSFM	0.00045980836899251273
IMP3	0.0004589459647871335
PPA2	0.0004583842323340127
PRDX2	0.0004571758452711744
RPS15	0.000456749544022075
ACTG1	0.00045649542622991184
CALR	0.00045412565914778984
ANXA2	0.00045313007478042154
PPIA	0.0004513504730797071
UQCRC2	0.0004512011832433663
AK2	0.0004503859517369848
YWHAE	0.00044799273967529245
PLG	0.0004474520044837816
CCT3	0.0004473772012952167
PDIA3	0.0004471473306152169
POTEF	0.00044631073472546623
YWHAB	0.0004443373170348675
PSMD14	0.000443128613359126
RPS4X	0.00044266351366521224
CCT6A	0.00044244098971345426
FLNA	0.00043840472595838714
TUBB	0.0004377228426407168
CFL1	0.0004367424621343123
MRRF	0.00043649210024734295
AHCY	0.0004364390471938154
PFN1	0.0004359498892579487
RPL19	0.0004359005211099586
H2BC21	0.00043537549358188424
EEF1A2	0.00043382786032110664
PAICS	0.0004337755321908956
CA9	0.000433703032394129
SEC61A1	0.0004331014868434881
TK1	0.0004317193002243967
PDK3	0.0004313750568216951
YWHAQ	0.0004301315855288339
YWHAG	0.00042975780073292903
PSMC3	0.0004295438127273301
PEBP1	0.0004293552602463648
B2M	0.00042763750274254803
MB	0.0004262229446806736
TUBA1A	0.0004253897129414534
HNRNPA2B1	0.0004252035919415528
TUBA1B	0.00042479204912420796
H2AX	0.00042421389257848416
SLC25A5	0.000421781014690656
P4HA1	0.00042110699473761734
PSMC4	0.00042109317663863855
TUBB2A	0.00042074192398846856
VIM	0.00042063424804207394
TUBA1C	0.0004203199752251483
TUBB4B	0.00042002655971034594
RNASEH1	0.00041958269603100453
AK3	0.00041910157194449666
AGR2	0.0004166268334425779
MRTFA	0.00041424305189796966
TUBA4A	0.00041378463566525274
AK4	0.00041197802274920754
PRDX4	0.00040916520598128874
MYH9	0.0004088272063093752
TUBB6	0.0004087733869053774
PSMC6	0.0004086307633289702
PPIB	0.0004080845623175275
ADH1A	0.0004043611433196172
SFN	0.0004024413522346686
PRDX5	0.0004009304224456275
STIP1	0.00040058329498709805
MIF	0.0004003099098181019
FLNB	0.0003970238142996211
STMN1	0.00039566468540984525
TOP2B	0.00039329054457872844
PLEC	0.00038934486332123304
RPS27A	0.00034538899653137323
EPRS1	0.00034537986375889626
ME1	0.00034408482788557187
RPEL1	0.00034161748549556075
UBC	0.00033864278315039344
ME3	0.00033194799918576914
UBB	0.00032735578657477833
ME2	0.00032667314772586613
ASS1	0.0003218748248759701
HSPA9	0.0003207407874224368
SRC	0.00031465329054032815
GOT1	0.00031271768873331746
GLUD2	0.0003112403497104683
H3-3B	0.0003105977817764399
H3C13	0.0003103205480488919
H3C12	0.00030906806672282666
RPS6	0.00030671954537927327
GLA	0.0003032488302132061
H3-4	0.00030268705706949913
PDHX	0.0003020817089358461
NDUFAB1	0.0003002176838905649
TFRC	0.000299998024656146
ALDH5A1	0.00029857056055797337
UMPS	0.0002985342750119756
AGL	0.00029771951481782606
H3-5	0.0002959994150278889
H3-7	0.0002951347069436898
AMY2B	0.00029512996435330493
NDUFS8	0.0002946155747494845
HPRT1	0.00029449196532897325
JUN	0.00029439894665859865
TGFB1	0.00029339611410406964
YARS1	0.00029305926308698457
OXSM	0.00029248085294452276
ADK	0.0002923681310941749
GK2	0.0002904422323455967
PUDP	0.0002901684212285367
GPD1	0.0002892551098946264
GK	0.00028911808474879825
GMPPB	0.0002880518060838578
BNIP3	0.0002863637471544685
RBM45	0.0002859497221663552
PRPS1L1	0.0002851065055564963
APRT	0.0002850523438778764
ATP5PO	0.00028196798054995074
RPL5	0.0002819177358662478
RPL23	0.0002802153934901245
POLR1B	0.00028018728728633485
RPS16	0.00027555427394065744
AR	0.0002749908685012163
PGM5	0.0002748323387314587
DPM1	0.0002732601833463581
SUMO2	0.00027294026979829487
EGLN1	0.0002727462864177235
YBX1	0.000272498970424972
GUSB	0.0002722410428266724
RACK1	0.0002706598431235104
MED1	0.00027040186129225976
ITGAM	0.00026992901227170115
CXCR4	0.0002698059919287248
NDUFS3	0.00026955784828952366
RPL9	0.00026933358222563545
BECN1	0.00026903177941379314
TBP	0.0002690056959414244
PHB1	0.0002688713579962941
NFKB1	0.00026845597068272925
MRPL19	0.000267994514810277
TARDBP	0.00026778791033746753
CD4	0.0002668891404177917
RPS23	0.0002658814818317136
AK1	0.00026583066113656714
HMGN1	0.00026573488821729377
RPS14	0.00026464758761573934
ACSL1	0.00026324142877732956
